id,user_id,doubt_id,created_at,activity_type
2121807,145082,248223,2020-01-01 07:10:05 UTC,resolve
2121811,34120,248205,2020-01-01 07:14:45 UTC,assign
2121812,34120,248205,2020-01-01 07:14:54 UTC,reject
2121813,34120,248210,2020-01-01 07:14:55 UTC,assign
2121814,34120,248210,2020-01-01 07:15:08 UTC,accept
2121815,34120,248227,2020-01-01 07:15:12 UTC,assign
2121816,34120,248227,2020-01-01 07:16:17 UTC,unassign
2121818,265305,248237,2020-01-01 07:22:50 UTC,assign
2121819,303664,248243,2020-01-01 07:23:33 UTC,resolve
2121820,265305,248237,2020-01-01 07:23:34 UTC,accept
2121821,303664,248243,2020-01-01 07:23:35 UTC,rate
2121822,265305,248244,2020-01-01 07:23:38 UTC,assign
2121823,265305,248244,2020-01-01 07:23:46 UTC,accept
2121826,265305,248220,2020-01-01 07:24:47 UTC,assign
2121827,265305,248220,2020-01-01 07:24:57 UTC,accept
2121828,34120,248241,2020-01-01 07:26:44 UTC,assign
2121829,34120,248241,2020-01-01 07:26:48 UTC,accept
2121830,265305,248237,2020-01-01 07:30:37 UTC,review_resolution
2121831,406475,248237,2020-01-01 07:30:47 UTC,resolve
2121832,406475,248237,2020-01-01 07:30:50 UTC,rate
2121833,136471,248225,2020-01-01 07:32:24 UTC,review_resolution
2121834,71668,248225,2020-01-01 07:32:29 UTC,resolve
2121835,71668,248225,2020-01-01 07:32:31 UTC,rate
2121836,136471,248233,2020-01-01 07:33:52 UTC,review_resolution
2121843,136471,248198,2020-01-01 07:34:39 UTC,assign
2121844,136471,248198,2020-01-01 07:35:03 UTC,reject
2121853,161259,248249,2020-01-01 07:36:46 UTC,assign
2121856,71,248249,2020-01-01 07:37:56 UTC,unassign
2121857,161259,248249,2020-01-01 07:37:57 UTC,assign
2121858,161259,248249,2020-01-01 07:38:04 UTC,reject
2121863,161259,248251,2020-01-01 07:38:14 UTC,assign
2121864,161259,248251,2020-01-01 07:38:27 UTC,reject
2121865,161259,248205,2020-01-01 07:38:28 UTC,assign
2121866,161259,248205,2020-01-01 07:38:33 UTC,reject
2121883,161259,248248,2020-01-01 07:41:47 UTC,assign
2121884,161259,248248,2020-01-01 07:41:56 UTC,reject
2121885,161259,248249,2020-01-01 07:41:56 UTC,assign
2121886,161259,248249,2020-01-01 07:42:00 UTC,reject
2121887,161259,248249,2020-01-01 07:42:01 UTC,assign
2121888,161259,248249,2020-01-01 07:42:04 UTC,reject
2121889,161259,248249,2020-01-01 07:42:05 UTC,assign
2121890,161259,248249,2020-01-01 07:42:21 UTC,accept
2121891,196224,248213,2020-01-01 07:42:59 UTC,resolve
2121892,196224,248213,2020-01-01 07:43:01 UTC,rate
2121900,265305,248244,2020-01-01 07:47:39 UTC,review_resolution
2121901,474731,248244,2020-01-01 07:47:44 UTC,resolve
2121902,474731,248244,2020-01-01 07:47:47 UTC,rate
2121911,161259,248249,2020-01-01 07:49:57 UTC,escalate
2121912,161259,248250,2020-01-01 07:50:04 UTC,assign
2121913,161259,248250,2020-01-01 07:50:12 UTC,reject
2121914,161259,248188,2020-01-01 07:50:13 UTC,assign
2121915,161259,248188,2020-01-01 07:50:26 UTC,reject
2121916,161259,248251,2020-01-01 07:50:27 UTC,assign
2121917,161259,248251,2020-01-01 07:50:31 UTC,reject
2121918,161259,248251,2020-01-01 07:50:32 UTC,assign
2121919,161259,248251,2020-01-01 07:50:35 UTC,reject
2121920,161259,248251,2020-01-01 07:50:36 UTC,assign
2121928,71,248251,2020-01-01 07:54:10 UTC,unassign
2121934,34120,248210,2020-01-01 07:56:02 UTC,review_resolution
2121948,71,248220,2020-01-01 08:00:42 UTC,inactivate
2121954,34120,248241,2020-01-01 08:01:18 UTC,review_resolution
2121955,34120,248249,2020-01-01 08:01:27 UTC,assign
2121956,34120,248249,2020-01-01 08:01:37 UTC,accept
2121962,120964,248262,2020-01-01 08:03:43 UTC,assign
2121963,120964,248262,2020-01-01 08:03:52 UTC,accept
2121964,120964,248266,2020-01-01 08:03:56 UTC,assign
2121967,120964,248266,2020-01-01 08:04:02 UTC,accept
2121968,120964,248267,2020-01-01 08:04:08 UTC,assign
2121971,120964,248267,2020-01-01 08:05:10 UTC,unassign
2121976,34120,248249,2020-01-01 08:08:09 UTC,escalate
2121977,34120,248251,2020-01-01 08:08:13 UTC,assign
2121978,34120,248251,2020-01-01 08:08:29 UTC,reject
2121979,34120,248264,2020-01-01 08:08:29 UTC,assign
2121980,34120,248264,2020-01-01 08:08:36 UTC,accept
2121981,34120,248248,2020-01-01 08:08:39 UTC,assign
2121982,34120,248248,2020-01-01 08:08:45 UTC,reject
2121991,175277,248249,2020-01-01 08:10:10 UTC,assign
2121999,71,248249,2020-01-01 08:12:11 UTC,unassign
2122001,29209,248262,2020-01-01 08:12:31 UTC,resolve
2122002,29209,248262,2020-01-01 08:12:32 UTC,rate
2122009,77245,248269,2020-01-01 08:16:02 UTC,resolve
2122010,77245,248269,2020-01-01 08:16:28 UTC,rate
2122011,34120,248250,2020-01-01 08:17:07 UTC,assign
2122012,34120,248250,2020-01-01 08:17:16 UTC,reject
2122013,34120,248188,2020-01-01 08:17:19 UTC,assign
2122014,34120,248188,2020-01-01 08:17:25 UTC,accept
2122015,34120,248251,2020-01-01 08:17:29 UTC,assign
2122016,34120,248251,2020-01-01 08:17:34 UTC,reject
2122019,29209,248266,2020-01-01 08:20:49 UTC,resolve
2122020,29209,248266,2020-01-01 08:20:51 UTC,rate
2122021,120964,248267,2020-01-01 08:20:57 UTC,assign
2122024,120964,248267,2020-01-01 08:21:27 UTC,reject
2122025,120964,248263,2020-01-01 08:21:27 UTC,assign
2122026,120964,248263,2020-01-01 08:21:33 UTC,reject
2122027,120964,248274,2020-01-01 08:21:33 UTC,assign
2122028,120964,248274,2020-01-01 08:21:43 UTC,reject
2122029,120964,248274,2020-01-01 08:21:44 UTC,assign
2122030,120964,248274,2020-01-01 08:21:47 UTC,reject
2122031,120964,248274,2020-01-01 08:21:47 UTC,assign
2122033,71,248274,2020-01-01 08:24:12 UTC,unassign
2122035,120964,248274,2020-01-01 08:24:48 UTC,assign
2122036,120964,248274,2020-01-01 08:24:56 UTC,reject
2122037,120964,248274,2020-01-01 08:24:57 UTC,assign
2122038,120964,248274,2020-01-01 08:25:00 UTC,reject
2122039,120964,248274,2020-01-01 08:25:00 UTC,assign
2122045,71,248274,2020-01-01 08:27:09 UTC,unassign
2122051,164611,248274,2020-01-01 08:27:58 UTC,assign
2122052,164611,248274,2020-01-01 08:28:11 UTC,accept
2122053,164611,248276,2020-01-01 08:28:17 UTC,assign
2122054,164611,248276,2020-01-01 08:28:22 UTC,accept
2122056,164611,248220,2020-01-01 08:28:29 UTC,assign
2122058,170702,248275,2020-01-01 08:28:53 UTC,assign
2122059,164611,248220,2020-01-01 08:29:31 UTC,unassign
2122060,170702,248275,2020-01-01 08:29:55 UTC,unassign
2122061,170702,248275,2020-01-01 08:30:13 UTC,assign
2122063,170702,248275,2020-01-01 08:30:14 UTC,accept
2122064,170702,248275,2020-01-01 08:32:08 UTC,review_resolution
2122067,170702,248253,2020-01-01 08:32:41 UTC,assign
2122068,170702,248253,2020-01-01 08:33:43 UTC,unassign
2122070,431527,248275,2020-01-01 08:35:25 UTC,resolve
2122071,431527,248275,2020-01-01 08:35:27 UTC,rate
2122072,149721,248246,2020-01-01 08:38:00 UTC,assign
2122073,149721,248246,2020-01-01 08:39:02 UTC,unassign
2122074,149721,248246,2020-01-01 08:39:03 UTC,assign
2122075,170702,248226,2020-01-01 08:39:04 UTC,assign
2122076,170702,248226,2020-01-01 08:39:30 UTC,accept
2122077,149721,248246,2020-01-01 08:40:05 UTC,unassign
2122078,149721,248246,2020-01-01 08:40:06 UTC,assign
2122079,34120,248188,2020-01-01 08:40:55 UTC,review_resolution
2122082,34120,248278,2020-01-01 08:41:06 UTC,assign
2122083,149721,248246,2020-01-01 08:41:08 UTC,unassign
2122084,149721,248246,2020-01-01 08:41:09 UTC,assign
2122085,34120,248278,2020-01-01 08:41:11 UTC,reject
2122086,34120,248206,2020-01-01 08:41:13 UTC,assign
2122087,34120,248206,2020-01-01 08:41:16 UTC,reject
2122094,34120,248264,2020-01-01 08:41:40 UTC,review_resolution
2122095,29209,248274,2020-01-01 08:41:52 UTC,resolve
2122096,29209,248274,2020-01-01 08:41:54 UTC,rate
2122097,149721,248246,2020-01-01 08:42:10 UTC,unassign
2122098,149721,248246,2020-01-01 08:42:11 UTC,assign
2122099,136471,248220,2020-01-01 08:42:35 UTC,assign
2122100,136471,248220,2020-01-01 08:42:46 UTC,reject
2122103,136471,248279,2020-01-01 08:42:56 UTC,assign
2122104,164611,248220,2020-01-01 08:43:03 UTC,assign
2122105,136471,248279,2020-01-01 08:43:07 UTC,reject
2122106,136471,248263,2020-01-01 08:43:07 UTC,assign
2122107,149721,248246,2020-01-01 08:43:13 UTC,unassign
2122108,136471,248263,2020-01-01 08:43:25 UTC,reject
2122109,136471,248267,2020-01-01 08:43:25 UTC,assign
2122110,136471,248267,2020-01-01 08:43:41 UTC,reject
2122118,164611,248220,2020-01-01 08:44:05 UTC,unassign
2122121,149721,248246,2020-01-01 08:44:39 UTC,assign
2122122,170702,248226,2020-01-01 08:45:06 UTC,review_resolution
2122124,136471,248220,2020-01-01 08:45:08 UTC,assign
2122125,53629,248226,2020-01-01 08:45:11 UTC,resolve
2122126,53629,248226,2020-01-01 08:45:13 UTC,rate
2122127,170702,248253,2020-01-01 08:45:33 UTC,assign
2122128,170702,248253,2020-01-01 08:45:39 UTC,reject
2122133,170702,248253,2020-01-01 08:46:07 UTC,assign
2122134,71,248246,2020-01-01 08:46:28 UTC,unassign
2122135,149721,248246,2020-01-01 08:46:28 UTC,assign
2122136,170702,248253,2020-01-01 08:47:10 UTC,unassign
2122137,170702,248253,2020-01-01 08:47:24 UTC,assign
2122138,71,248246,2020-01-01 08:47:30 UTC,unassign
2122139,149721,248246,2020-01-01 08:47:30 UTC,assign
2122140,170702,248253,2020-01-01 08:47:31 UTC,accept
2122141,71,248220,2020-01-01 08:48:12 UTC,unassign
2122142,149721,248246,2020-01-01 08:48:33 UTC,unassign
2122143,149721,248246,2020-01-01 08:48:33 UTC,assign
2122144,170702,248253,2020-01-01 08:49:24 UTC,review_resolution
2122145,348972,248253,2020-01-01 08:49:26 UTC,resolve
2122146,348972,248253,2020-01-01 08:49:28 UTC,rate
2122148,71,248246,2020-01-01 08:49:51 UTC,unassign
2122149,149721,248246,2020-01-01 08:49:52 UTC,assign
2122150,164611,248220,2020-01-01 08:50:14 UTC,assign
2122152,149721,248246,2020-01-01 08:50:53 UTC,unassign
2122153,149721,248284,2020-01-01 08:50:54 UTC,assign
2122155,164611,248220,2020-01-01 08:51:17 UTC,unassign
2122156,149721,248284,2020-01-01 08:51:56 UTC,unassign
2122157,149721,248284,2020-01-01 08:51:57 UTC,assign
2122160,149721,248284,2020-01-01 08:52:59 UTC,unassign
2122161,149721,248284,2020-01-01 08:53:00 UTC,assign
2122170,149721,248284,2020-01-01 08:54:03 UTC,unassign
2122171,149721,248284,2020-01-01 08:54:27 UTC,assign
2122172,149721,248284,2020-01-01 08:55:28 UTC,unassign
2122173,149721,248284,2020-01-01 08:55:29 UTC,assign
2122175,404880,248276,2020-01-01 08:56:16 UTC,resolve
2122176,404880,248276,2020-01-01 08:56:18 UTC,rate
2122179,149721,248284,2020-01-01 08:56:31 UTC,unassign
2122180,149721,248284,2020-01-01 08:56:32 UTC,assign
2122185,164611,248220,2020-01-01 08:57:31 UTC,assign
2122186,149721,248284,2020-01-01 08:57:34 UTC,unassign
2122187,149721,248284,2020-01-01 08:57:34 UTC,assign
2122188,164611,248220,2020-01-01 08:58:34 UTC,unassign
2122189,164611,248287,2020-01-01 08:58:34 UTC,assign
2122190,149721,248284,2020-01-01 08:58:36 UTC,unassign
2122191,149721,248284,2020-01-01 08:58:37 UTC,assign
2122192,164611,248287,2020-01-01 08:58:57 UTC,accept
2122193,164611,248220,2020-01-01 08:59:04 UTC,assign
2122194,149721,248284,2020-01-01 08:59:39 UTC,unassign
2122195,149721,248284,2020-01-01 08:59:41 UTC,assign
2122196,164611,248220,2020-01-01 08:59:55 UTC,accept
2122199,149721,248284,2020-01-01 09:00:43 UTC,unassign
2122200,149721,248284,2020-01-01 09:00:43 UTC,assign
2122201,71,248284,2020-01-01 09:01:43 UTC,unassign
2122202,149721,248284,2020-01-01 09:01:43 UTC,assign
2122204,149721,248284,2020-01-01 09:02:45 UTC,unassign
2122205,149721,248284,2020-01-01 09:02:45 UTC,assign
2122208,149721,248284,2020-01-01 09:03:47 UTC,unassign
2122209,149721,248284,2020-01-01 09:03:48 UTC,assign
2122210,29209,248287,2020-01-01 09:04:16 UTC,resolve
2122211,29209,248287,2020-01-01 09:04:18 UTC,rate
2122213,149721,248284,2020-01-01 09:04:50 UTC,unassign
2122214,149721,248284,2020-01-01 09:04:50 UTC,assign
2122216,149721,248284,2020-01-01 09:05:52 UTC,unassign
2122217,149721,248284,2020-01-01 09:05:53 UTC,assign
2122219,149721,248284,2020-01-01 09:06:54 UTC,unassign
2122223,149721,248284,2020-01-01 09:08:29 UTC,assign
2122225,23839,248246,2020-01-01 09:09:29 UTC,assign
2122226,149721,248284,2020-01-01 09:09:31 UTC,unassign
2122227,149721,248284,2020-01-01 09:09:31 UTC,assign
2122228,23839,248246,2020-01-01 09:09:41 UTC,reject
2122234,149721,248284,2020-01-01 09:10:33 UTC,unassign
2122235,149721,248284,2020-01-01 09:10:34 UTC,assign
2122239,149721,248284,2020-01-01 09:11:36 UTC,unassign
2122240,23839,248284,2020-01-01 09:11:55 UTC,assign
2122241,23839,248284,2020-01-01 09:11:59 UTC,accept
2122242,149721,248246,2020-01-01 09:12:02 UTC,assign
2122244,149721,248246,2020-01-01 09:13:05 UTC,unassign
2122245,149721,248246,2020-01-01 09:13:05 UTC,assign
2122247,149721,248246,2020-01-01 09:14:07 UTC,unassign
2122248,149721,248246,2020-01-01 09:14:07 UTC,assign
2122250,149721,248246,2020-01-01 09:15:09 UTC,unassign
2122251,149721,248246,2020-01-01 09:15:16 UTC,assign
2122254,149721,248246,2020-01-01 09:16:19 UTC,unassign
2122256,149721,248246,2020-01-01 09:16:20 UTC,assign
2122257,149721,248246,2020-01-01 09:17:21 UTC,unassign
2122258,149721,248246,2020-01-01 09:17:22 UTC,assign
2122259,149721,248246,2020-01-01 09:18:24 UTC,unassign
2122260,149721,248246,2020-01-01 09:18:24 UTC,assign
2122261,175223,248205,2020-01-01 09:18:46 UTC,assign
2122262,164611,248292,2020-01-01 09:18:53 UTC,assign
2122263,175223,248205,2020-01-01 09:18:59 UTC,accept
2122264,149721,248246,2020-01-01 09:19:26 UTC,unassign
2122265,149721,248246,2020-01-01 09:19:27 UTC,assign
2122266,175223,248205,2020-01-01 09:19:49 UTC,pending_action_required
2122267,164611,248292,2020-01-01 09:19:56 UTC,unassign
2122268,175223,248249,2020-01-01 09:19:57 UTC,assign
2122269,175223,248249,2020-01-01 09:20:02 UTC,reject
2122272,175223,248248,2020-01-01 09:20:09 UTC,assign
2122273,175223,248248,2020-01-01 09:20:15 UTC,reject
2122274,175223,248249,2020-01-01 09:20:15 UTC,assign
2122275,175223,248249,2020-01-01 09:20:20 UTC,reject
2122276,175223,248293,2020-01-01 09:20:20 UTC,assign
2122277,175223,248293,2020-01-01 09:20:27 UTC,reject
2122278,175223,248249,2020-01-01 09:20:28 UTC,assign
2122279,149721,248246,2020-01-01 09:20:29 UTC,unassign
2122280,175223,248249,2020-01-01 09:20:31 UTC,reject
2122281,175223,248249,2020-01-01 09:20:32 UTC,assign
2122282,175223,248249,2020-01-01 09:20:35 UTC,reject
2122283,175223,248249,2020-01-01 09:20:35 UTC,assign
2122284,175223,248249,2020-01-01 09:20:37 UTC,reject
2122285,175223,248249,2020-01-01 09:20:38 UTC,assign
2122286,149721,248246,2020-01-01 09:20:39 UTC,assign
2122287,484997,248294,2020-01-01 09:21:26 UTC,resolve
2122288,484997,248294,2020-01-01 09:21:29 UTC,rate
2122289,149721,248246,2020-01-01 09:21:40 UTC,unassign
2122290,149721,248246,2020-01-01 09:21:41 UTC,assign
2122291,192895,248252,2020-01-01 09:22:06 UTC,assign
2122292,192895,248252,2020-01-01 09:22:31 UTC,accept
2122293,149721,248246,2020-01-01 09:22:43 UTC,unassign
2122294,149721,248246,2020-01-01 09:22:43 UTC,assign
2122295,41592,248290,2020-01-01 09:23:15 UTC,resolve
2122296,41592,248290,2020-01-01 09:23:21 UTC,rate
2122299,149721,248246,2020-01-01 09:23:46 UTC,unassign
2122300,149721,248246,2020-01-01 09:23:46 UTC,assign
2122301,71,248249,2020-01-01 09:24:11 UTC,unassign
2122302,192895,248252,2020-01-01 09:24:43 UTC,review_resolution
2122303,142512,248252,2020-01-01 09:24:44 UTC,resolve
2122304,149721,248246,2020-01-01 09:24:48 UTC,unassign
2122305,149721,248246,2020-01-01 09:24:49 UTC,assign
2122306,142512,248252,2020-01-01 09:24:51 UTC,rate
2122307,192895,248288,2020-01-01 09:25:04 UTC,assign
2122308,192895,248288,2020-01-01 09:25:12 UTC,accept
2122309,206930,248288,2020-01-01 09:25:29 UTC,resolve
2122310,206930,248288,2020-01-01 09:25:30 UTC,rate
2122311,71,248246,2020-01-01 09:25:51 UTC,unassign
2122312,149721,248246,2020-01-01 09:25:51 UTC,assign
2122313,175223,248249,2020-01-01 09:26:41 UTC,assign
2122314,149721,248246,2020-01-01 09:26:53 UTC,unassign
2122315,149721,248246,2020-01-01 09:26:54 UTC,assign
2122316,175223,248249,2020-01-01 09:26:55 UTC,reject
2122317,175223,248249,2020-01-01 09:26:56 UTC,assign
2122318,175223,248249,2020-01-01 09:26:58 UTC,reject
2122319,175223,248249,2020-01-01 09:26:59 UTC,assign
2122320,71,248246,2020-01-01 09:27:49 UTC,unassign
2122321,149721,248246,2020-01-01 09:27:49 UTC,assign
2122323,149721,248246,2020-01-01 09:28:50 UTC,unassign
2122324,149721,248246,2020-01-01 09:28:51 UTC,assign
2122325,149721,248246,2020-01-01 09:29:53 UTC,unassign
2122326,149721,248246,2020-01-01 09:29:53 UTC,assign
2122327,23839,248240,2020-01-01 09:30:12 UTC,assign
2122328,23839,248240,2020-01-01 09:30:15 UTC,accept
2122329,71,248249,2020-01-01 09:30:33 UTC,unassign
2122331,149721,248246,2020-01-01 09:30:56 UTC,unassign
2122332,149721,248246,2020-01-01 09:30:56 UTC,assign
2122333,71,248246,2020-01-01 09:31:52 UTC,unassign
2122334,149721,248246,2020-01-01 09:31:53 UTC,assign
2122337,149721,248246,2020-01-01 09:32:54 UTC,unassign
2122338,149721,248246,2020-01-01 09:32:55 UTC,assign
2122341,142512,248249,2020-01-01 09:33:50 UTC,assign
2122342,149721,248246,2020-01-01 09:33:56 UTC,unassign
2122343,149721,248246,2020-01-01 09:33:57 UTC,assign
2122346,142512,248249,2020-01-01 09:33:59 UTC,accept
2122347,482979,248301,2020-01-01 09:34:53 UTC,resolve
2122348,482979,248301,2020-01-01 09:34:55 UTC,rate
2122349,149721,248246,2020-01-01 09:34:59 UTC,unassign
2122350,149721,248246,2020-01-01 09:35:00 UTC,assign
2122353,149721,248246,2020-01-01 09:36:01 UTC,unassign
2122354,149721,248246,2020-01-01 09:36:02 UTC,assign
2122357,149721,248246,2020-01-01 09:37:03 UTC,unassign
2122358,149721,248246,2020-01-01 09:37:04 UTC,assign
2122361,149721,248246,2020-01-01 09:38:06 UTC,unassign
2122362,149721,248246,2020-01-01 09:38:07 UTC,assign
2122363,149721,248246,2020-01-01 09:39:08 UTC,unassign
2122364,149721,248246,2020-01-01 09:39:09 UTC,assign
2122365,149721,248246,2020-01-01 09:40:11 UTC,unassign
2122366,149721,248246,2020-01-01 09:40:11 UTC,assign
2122367,71,248220,2020-01-01 09:40:28 UTC,inactivate
2122368,149721,248246,2020-01-01 09:41:13 UTC,unassign
2122369,149721,248246,2020-01-01 09:41:13 UTC,assign
2122371,149721,248246,2020-01-01 09:42:14 UTC,unassign
2122372,149721,248246,2020-01-01 09:42:15 UTC,assign
2122373,149721,248246,2020-01-01 09:43:16 UTC,unassign
2122374,149721,248246,2020-01-01 09:43:17 UTC,assign
2122376,149721,248246,2020-01-01 09:44:19 UTC,unassign
2122377,149721,248246,2020-01-01 09:44:19 UTC,assign
2122378,71,248246,2020-01-01 09:45:18 UTC,unassign
2122379,149721,248246,2020-01-01 09:45:19 UTC,assign
2122387,149721,248246,2020-01-01 09:46:21 UTC,unassign
2122388,149721,248246,2020-01-01 09:46:21 UTC,assign
